"Smart Suggestions","Sugestões Inteligentes"
"Smart Suggestions Settings","Configurações de Sugestões Inteligentes"
"Enable Smart Suggestions","Habilitar Sugestões Inteligentes"
"Product Recommendations","Recomendações de Produtos"
"Related Products Algorithm","Algoritmo de Produtos Relacionados"
"Collaborative Filtering","Filtragem Colaborativa"
"Content-Based","Baseado em Conteúdo"
"Hybrid Approach","Abordagem Híbrida"
"Maximum Recommendations","Máximo de Recomendações"
"Number of products to suggest","Número de produtos a sugerir"
"Minimum Confidence","Confiança Mínima"
"Minimum confidence score (0-100)","Pontuação mínima de confiança (0-100)"
"Sales Forecast","Previsão de Vendas"
"Enable Sales Forecast","Habilitar Previsão de Vendas"
"Forecast Period (months)","Período de Previsão (meses)"
"Forecast Algorithm","Algoritmo de Previsão"
"Moving Average","Média Móvel"
"Linear Regression","Regressão Linear"
"Seasonal Analysis","Análise Sazonal"
"Historical Data Period","Período de Dados Históricos"
"Months of historical data to use","Meses de dados históricos a usar"
"Trend Detection","Detecção de Tendência"
"Enable Trend Detection","Habilitar Detecção de Tendência"
"Trending Products","Produtos em Tendência"
"Trending Period (days)","Período de Tendência (dias)"
"Growth Threshold (%)","Limite de Crescimento (%)"
"Minimum growth to mark as trending","Crescimento mínimo para marcar como tendência"
"Customer Segmentation","Segmentação de Clientes"
"Enable Auto-Segmentation","Habilitar Segmentação Automática"
"Segmentation Criteria","Critérios de Segmentação"
"Purchase Frequency","Frequência de Compra"
"Average Order Value","Valor Médio do Pedido"
"Product Categories","Categorias de Produto"
"Recency","Recência"
"Smart Search","Busca Inteligente"
"Enable Search Suggestions","Habilitar Sugestões de Busca"
"Autocomplete Results","Resultados de Autocompletar"
"Number of autocomplete suggestions","Número de sugestões de autocompletar"
"Search History","Histórico de Busca"
"Save Search History","Salvar Histórico de Busca"
"Popular Searches","Buscas Populares"
"Show popular search terms","Mostrar termos de busca populares"
"Personalization","Personalização"
"Enable Personalization","Habilitar Personalização"
"Personalized Homepage","Página Inicial Personalizada"
"Show personalized content","Mostrar conteúdo personalizado"
"Personalized Emails","Emails Personalizados"
"Product recommendations in emails","Recomendações de produtos em emails"
"Performance","Performance"
"Cache Suggestions","Cache de Sugestões"
"Cache lifetime (seconds)","Tempo de vida do cache (segundos)"
"Batch Processing","Processamento em Lote"
"Process suggestions in batches","Processar sugestões em lotes"
"Batch Size","Tamanho do Lote"
"You might also like","Você também pode gostar"
"Customers who bought this also bought","Clientes que compraram isto também compraram"
"Frequently bought together","Frequentemente comprados juntos"
"Recommended for you","Recomendado para você"
"Based on your browsing history","Baseado no seu histórico de navegação"
"Trending in your category","Em tendência na sua categoria"
"Next Month Forecast","Previsão Próximo Mês"
"Next Month Forecast Error","Erro na Previsão do Próximo Mês"
