"Show More","Ver Mais"
"Show Less","Ver Menos"
"All Categories","Todas as Categorias"
Categories,Categorias
"Shop By Department","Comprar por Departamento"
Department,Departamento
Departments,Departamentos
"Browse Categories","Navegar por Categorias"
"Product Categories","Categorias de Produtos"
"View All","Ver Todos"
"Add to Cart","Adicionar ao Carrinho"
"Shop Now","Comprar Agora"
"Quick View","Visualização Rápida"
Loading...,Carregando...
Search,Buscar
"Toggle Nav","Alternar Navegação"
"More Categories","Mais Categorias"
"Less Categories","Menos Categorias"
New,Novo
"Hot!","Quente!"
Sale,Promoção
